LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,MasVnrType,ExterQual,BsmtQual,KitchenQual,GarageFinish,SalePrice
11478,8,2007,2008,200.0,1218,1704,1704,0,1704,2,7,1,2008.0,3,772,0,50,306000,Stone,Gd,Ex,Gd,RFn,306000
16321,5,1957,1997,0.0,1277,1484,1600,0,1600,1,6,2,1957.0,1,319,288,258,207500,None,TA,TA,TA,RFn,207500
6324,4,1927,1950,0.0,0,520,520,0,520,1,4,0,1920.0,1,240,49,0,68500,None,TA,TA,Fa,Unf,68500
8500,4,1920,1950,0.0,0,649,649,668,1317,1,6,0,1920.0,1,250,0,54,40000,None,TA,TA,TA,Unf,40000
8544,5,1966,2006,0.0,0,1228,1228,0,1228,1,6,0,1966.0,1,271,0,65,149350,None,TA,TA,Gd,Unf,149350
11049,8,2007,2007,0.0,0,1234,1234,0,1234,2,7,0,2007.0,2,484,0,30,179900,None,Gd,Ex,Gd,RFn,179900
10552,5,1959,1959,0.0,1018,1398,1700,0,1700,1,6,1,1959.0,2,447,0,38,165500,None,TA,TA,Gd,RFn,165500
7313,9,2005,2005,246.0,1153,1561,1561,0,1561,2,6,1,2005.0,2,556,203,47,277500,BrkFace,Ex,Ex,Ex,Fin,277500
13418,8,2004,2005,132.0,0,1117,1132,1320,2452,3,9,1,2004.0,3,691,113,32,309000,Stone,Gd,Ex,Gd,Fin,309000
10859,5,1994,1995,0.0,0,1097,1097,0,1097,1,6,0,1995.0,2,672,392,64,145000,None,TA,Gd,TA,Unf,145000
8532,5,1954,1990,650.0,1213,1297,1297,0,1297,1,5,1,1954.0,2,498,0,0,153000,BrkFace,TA,TA,TA,Fin,153000
7922,5,1953,2007,0.0,731,1057,1057,0,1057,1,5,0,1953.0,1,246,0,52,109000,None,TA,TA,Gd,Unf,109000
6040,4,1955,1955,0.0,0,0,1152,0,1152,2,6,0,,0,0,0,0,82000,None,TA,,Fa,,82000
8658,6,1965,1965,101.0,643,1088,1324,0,1324,2,6,1,1965.0,2,440,0,138,160000,BrkFace,TA,TA,TA,RFn,160000
16905,5,1959,1959,0.0,967,1350,1328,0,1328,1,5,2,1959.0,1,308,0,104,170000,None,TA,TA,TA,RFn,170000
9180,5,1983,1983,0.0,747,840,884,0,884,1,5,0,1983.0,2,504,240,0,144000,None,TA,Gd,Gd,RFn,144000
9200,5,1975,1980,0.0,280,938,938,0,938,1,5,0,1977.0,1,308,145,0,130250,None,TA,Gd,TA,Unf,130250
7945,5,1959,1959,0.0,179,1150,1150,0,1150,1,6,0,1959.0,1,300,0,0,141000,None,TA,TA,TA,RFn,141000
7658,9,2005,2005,412.0,456,1752,1752,0,1752,2,6,1,2005.0,2,576,196,82,319900,BrkFace,Ex,Ex,Ex,RFn,319900
12822,7,2003,2003,0.0,1351,1434,1518,631,2149,1,6,1,2003.0,2,670,168,43,239686,None,Gd,Ex,Gd,RFn,239686
11096,8,2006,2006,0.0,24,1656,1656,0,1656,2,7,0,2006.0,3,826,0,146,249700,None,Gd,Gd,Gd,RFn,249700
4456,4,1920,2008,0.0,0,736,736,716,1452,2,8,0,,0,0,0,0,113000,None,TA,TA,TA,,113000
7742,5,1966,1966,0.0,763,955,955,0,955,1,6,0,1966.0,1,386,0,0,127000,None,TA,TA,TA,Unf,127000
13869,6,1997,1997,0.0,182,794,794,676,1470,2,6,0,1997.0,2,388,0,75,177000,None,TA,Gd,TA,Fin,177000
6240,6,1934,1950,0.0,0,816,816,0,1176,1,6,1,1985.0,2,528,112,0,114500,None,TA,TA,TA,Unf,114500
8472,5,1963,1963,0.0,104,816,816,0,816,1,5,0,1963.0,2,516,106,0,110000,None,Fa,Gd,TA,Unf,110000
50271,9,1981,1987,0.0,1810,1842,1842,0,1842,0,5,1,1981.0,3,894,857,72,385000,None,Gd,Ex,Gd,Fin,385000
7134,5,1955,1955,0.0,384,384,1360,0,1360,1,6,1,1962.0,2,572,0,50,130000,None,TA,TA,TA,Unf,130000
10175,6,1964,1964,272.0,490,1425,1425,0,1425,2,7,1,1964.0,2,576,0,0,180500,BrkFace,TA,TA,TA,RFn,180500
2645,8,1999,2000,456.0,649,970,983,756,1739,2,7,0,1999.0,2,480,115,0,172500,BrkFace,Gd,Gd,Gd,Fin,172500
11645,7,2004,2004,0.0,0,860,860,860,1720,2,7,0,2004.0,2,565,0,70,196500,None,Gd,Gd,Gd,RFn,196500
13682,10,2006,2006,1031.0,0,1410,1426,1519,2945,3,10,1,2006.0,3,641,192,0,438780,BrkFace,Ex,Ex,Gd,Fin,438780
7200,5,1972,1972,0.0,632,780,780,0,780,1,4,0,1973.0,1,352,196,0,124900,None,TA,TA,TA,Unf,124900
13072,6,2004,2004,0.0,941,1158,1158,0,1158,1,5,0,2006.0,2,576,0,50,158000,None,TA,Gd,Gd,Unf,158000
7200,5,1920,1996,0.0,0,530,581,530,1111,1,6,0,1935.0,1,288,0,0,101000,None,TA,TA,Fa,Unf,101000
6442,8,2006,2006,178.0,24,1370,1370,0,1370,2,6,1,2006.0,2,484,120,49,202500,Stone,Gd,Gd,Gd,RFn,202500
10300,7,1921,1950,0.0,0,576,902,808,1710,2,9,0,1990.0,2,480,12,11,140000,None,TA,TA,TA,Unf,140000
9375,7,1997,1998,573.0,739,1057,1057,977,2034,2,8,0,1998.0,2,645,576,36,219500,BrkFace,TA,Gd,Gd,RFn,219500
9591,8,2004,2005,344.0,0,1143,1143,1330,2473,2,9,1,2004.0,3,852,192,151,317000,BrkFace,Gd,Ex,Gd,RFn,317000
19900,7,1970,1989,287.0,912,1947,2207,0,2207,2,7,1,1970.0,2,576,301,0,180000,BrkFace,TA,Gd,TA,RFn,180000
10665,7,2003,2003,167.0,1013,1453,1479,0,1479,2,7,0,2003.0,2,558,144,29,226000,BrkFace,Gd,Gd,Gd,RFn,226000
4608,4,1945,1950,0.0,0,747,747,0,747,1,4,0,1945.0,1,220,0,0,80000,None,TA,TA,TA,Unf,80000
15593,7,1953,1953,0.0,603,1304,1304,983,2287,2,7,1,1953.0,2,667,0,21,225000,None,Gd,TA,TA,Fin,225000
13651,7,1973,1973,1115.0,1880,2223,2223,0,2223,2,8,2,1973.0,2,516,300,0,244000,BrkFace,TA,Gd,TA,Fin,244000
7599,4,1982,2006,0.0,565,845,845,0,845,1,4,0,1987.0,2,360,0,0,129500,None,TA,TA,TA,Unf,129500
10141,7,1998,1998,40.0,0,832,885,833,1718,2,7,1,1998.0,2,427,0,94,185000,BrkFace,TA,Gd,TA,Fin,185000
10200,5,1954,2003,104.0,320,1086,1086,0,1086,1,6,0,1989.0,2,490,0,0,144900,BrkFace,TA,TA,TA,Unf,144900
5790,3,1915,1950,0.0,0,840,840,765,1605,2,8,0,1915.0,1,379,0,0,107400,None,Gd,Fa,TA,Unf,107400
1596,4,1973,1973,0.0,462,462,526,462,988,1,5,0,1973.0,1,297,120,101,91000,None,TA,Gd,TA,Unf,91000
8475,4,1956,1956,0.0,228,952,952,0,952,1,4,0,1956.0,1,283,0,0,135750,None,TA,TA,TA,Unf,135750
8635,5,1948,2001,0.0,336,672,1072,213,1285,1,6,0,1948.0,1,240,0,0,127000,None,TA,TA,TA,Unf,127000
10778,4,1968,1968,0.0,0,1768,1768,0,1768,2,8,0,,0,0,0,0,136500,None,TA,TA,TA,,136500
10440,5,1910,1981,0.0,0,440,682,548,1230,1,5,0,1966.0,2,440,74,0,110000,None,TA,TA,TA,Unf,110000
13000,6,1968,1968,576.0,448,896,1182,960,2142,2,8,1,1968.0,1,509,0,72,193500,BrkFace,TA,Gd,Gd,Fin,193500
4500,6,1998,1998,443.0,1201,1237,1337,0,1337,2,5,0,1998.0,2,405,0,199,153500,BrkFace,TA,Ex,TA,Fin,153500
10206,8,2007,2007,468.0,33,1563,1563,0,1563,2,6,1,2007.0,3,758,144,99,245000,Stone,TA,Gd,Gd,RFn,245000
8892,5,1960,1960,66.0,0,1065,1065,0,1065,1,6,0,1974.0,2,461,74,0,126500,BrkCmn,TA,TA,TA,Unf,126500
8530,7,1995,1996,22.0,0,384,804,670,1474,2,7,1,1995.0,2,400,120,72,168500,BrkFace,TA,Gd,TA,Fin,168500
16059,8,1991,1992,284.0,0,1288,1301,1116,2417,2,9,1,1991.0,2,462,127,82,260000,BrkFace,Gd,Gd,Gd,Unf,260000
11911,6,2005,2005,0.0,0,684,684,876,1560,2,6,1,2005.0,2,400,100,38,174000,None,Gd,Gd,Gd,Fin,174000
3951,6,2009,2009,76.0,0,612,612,612,1224,2,4,0,2009.0,2,528,0,234,164500,Stone,Gd,Gd,Gd,RFn,164500
8470,3,1915,1982,0.0,0,1013,1013,0,1526,1,6,0,,0,0,0,0,85000,None,Fa,TA,Fa,,85000
8070,4,1994,1995,0.0,588,990,990,0,990,1,5,0,,0,0,0,0,123600,None,TA,Gd,TA,,123600
7200,4,1950,1950,0.0,0,0,1040,0,1040,1,4,0,1950.0,2,420,0,29,109900,None,TA,,TA,Unf,109900
8500,5,1961,1961,203.0,600,1235,1235,0,1235,1,6,0,1961.0,2,480,0,0,98600,BrkCmn,TA,TA,TA,Unf,98600
13360,5,1921,2006,0.0,713,876,964,0,964,1,5,0,1921.0,2,432,0,0,163500,None,TA,Gd,TA,Unf,163500
7200,6,1910,1998,0.0,1046,1214,1260,1031,2291,2,9,1,1900.0,2,506,0,0,133900,None,TA,TA,TA,Unf,133900
9337,6,1997,1997,0.0,648,824,905,881,1786,2,7,0,1997.0,2,684,0,162,204750,None,TA,Gd,Gd,RFn,204750
9765,6,1993,1993,68.0,310,680,680,790,1470,2,6,1,1993.0,2,420,232,63,185000,BrkFace,Ex,Gd,TA,Fin,185000
10264,7,1999,1999,183.0,1162,1588,1588,0,1588,2,6,0,1999.0,2,472,158,29,214000,BrkFace,Gd,Gd,Gd,RFn,214000
10921,4,1965,1965,48.0,520,960,960,0,960,1,6,0,1965.0,1,432,120,0,94750,BrkFace,TA,TA,TA,Fin,94750
10625,5,1920,1950,0.0,108,458,835,0,835,1,5,0,1920.0,1,366,0,0,83000,None,TA,TA,TA,Unf,83000
9320,4,1959,1959,0.0,569,950,1225,0,1225,1,6,0,,0,0,352,0,128950,None,TA,TA,TA,,128950
10603,6,1977,2001,28.0,1200,1610,1610,0,1610,2,6,2,1977.0,2,480,168,68,205000,BrkFace,TA,TA,Gd,RFn,205000
9206,6,1985,1985,336.0,0,741,977,755,1732,2,7,1,1985.0,2,476,192,46,178000,BrkFace,Gd,Gd,Gd,Fin,178000
7018,5,1979,1979,0.0,0,0,1535,0,1535,2,8,0,1979.0,2,410,0,0,118964,None,TA,,TA,Unf,118964
10402,7,2009,2009,0.0,0,1226,1226,0,1226,2,6,0,2009.0,3,740,0,36,198900,None,TA,Gd,Gd,RFn,198900
7758,7,1931,1950,600.0,224,1040,1226,592,1818,1,7,2,1951.0,1,240,0,0,169500,BrkFace,TA,TA,TA,Unf,169500
9375,8,2003,2004,768.0,0,1053,1053,939,1992,2,9,1,2003.0,2,648,140,45,250000,BrkFace,Gd,Ex,Gd,RFn,250000
10800,4,1885,1995,0.0,0,641,1047,0,1047,1,6,0,1954.0,1,273,0,0,100000,None,TA,Fa,TA,Unf,100000
6000,5,1948,1950,0.0,104,789,789,0,789,1,5,0,1948.0,1,250,0,0,115000,None,TA,TA,TA,Unf,115000
8500,5,1919,2005,0.0,0,793,997,520,1517,2,7,0,,0,0,0,0,115000,None,TA,TA,Fa,,115000
11751,6,1977,1977,480.0,705,1844,1844,0,1844,2,7,1,1977.0,2,546,0,122,190000,BrkFace,TA,Gd,TA,RFn,190000
9525,6,1954,1972,0.0,444,994,1216,639,1855,2,7,0,1954.0,1,325,182,0,136900,None,TA,TA,TA,Unf,136900
7750,7,2000,2000,0.0,250,384,774,656,1430,2,7,1,2000.0,2,400,180,0,180000,None,TA,Gd,TA,Fin,180000
9965,7,2007,2007,220.0,984,1264,1282,1414,2696,2,10,1,2007.0,3,792,120,184,383970,Stone,Gd,Ex,Ex,Fin,383970
21000,6,1953,1953,184.0,35,1809,2259,0,2259,2,7,2,1953.0,2,450,166,120,217000,BrkFace,TA,Gd,Gd,Unf,217000
7259,6,1945,2002,0.0,774,1028,1436,884,2320,2,9,1,1945.0,1,180,224,0,259500,None,TA,TA,Gd,Unf,259500
3230,6,1999,1999,1129.0,419,729,729,729,1458,2,5,1,1999.0,2,440,0,32,176000,BrkFace,TA,Gd,TA,Unf,176000
11616,5,1962,1962,116.0,170,1092,1092,0,1092,1,6,1,1962.0,1,288,0,20,139000,BrkFace,TA,TA,TA,Unf,139000
8536,5,2006,2007,0.0,0,1125,1125,0,1125,1,5,0,2007.0,2,430,80,64,155000,None,TA,Gd,TA,Unf,155000
12376,7,1990,1990,0.0,1470,1673,1699,1523,3222,3,11,2,1990.0,3,594,367,0,320000,None,TA,Gd,Gd,Unf,320000
8461,6,2005,2006,0.0,0,728,728,728,1456,2,8,1,2005.0,2,390,0,24,163990,None,Gd,Gd,Gd,Fin,163990
21453,6,1969,1969,0.0,938,938,988,0,988,1,4,2,1969.0,2,540,0,130,180000,None,TA,TA,TA,Unf,180000
6060,4,1939,1950,0.0,0,732,772,351,1123,1,4,0,1979.0,1,264,0,0,100000,None,TA,TA,TA,Unf,100000
9464,6,1958,1958,135.0,570,1080,1080,0,1080,1,5,0,1958.0,1,288,0,0,136000,BrkFace,TA,TA,TA,Unf,136000
7892,6,1993,1993,0.0,300,1199,1199,0,1199,2,5,0,1993.0,2,530,0,63,153900,None,Gd,Gd,Gd,RFn,153900
17043,6,1979,1998,0.0,0,1362,1586,0,1586,2,7,1,1979.0,2,435,192,0,181000,None,TA,Gd,TA,Unf,181000
6780,6,1935,1982,0.0,490,520,520,0,754,1,5,0,,0,0,53,0,84500,None,TA,TA,TA,,84500
4928,6,1976,1976,0.0,120,1078,958,0,958,2,5,1,1977.0,2,440,0,205,128000,None,TA,Gd,TA,RFn,128000
4388,5,1930,1950,0.0,116,672,840,0,840,1,5,1,,0,0,0,0,87000,None,TA,TA,TA,,87000
7590,6,1966,1966,266.0,512,660,660,688,1348,1,6,1,1966.0,2,453,188,108,155000,BrkFace,TA,TA,TA,RFn,155000
8973,5,1958,1991,85.0,567,1008,1053,0,1053,1,6,0,1998.0,2,750,0,80,150000,BrkFace,TA,TA,Ex,RFn,150000
14200,7,1966,1966,309.0,445,924,1216,941,2157,2,8,2,1966.0,2,487,105,66,226000,BrkFace,TA,TA,Gd,Fin,226000
12224,6,2000,2000,40.0,695,992,1022,1032,2054,2,7,1,2000.0,2,390,24,48,244000,BrkFace,Gd,Gd,Gd,RFn,244000
7388,5,1959,2002,0.0,405,1063,1327,0,1327,1,7,0,1974.0,2,624,0,0,150750,None,TA,TA,Gd,Unf,150750
6853,8,2001,2002,136.0,1005,1267,1296,0,1296,2,6,0,2001.0,2,471,192,25,220000,BrkFace,Gd,Ex,Gd,Fin,220000
10335,5,1968,1993,0.0,570,1461,1721,0,1721,2,7,1,1968.0,2,440,0,96,180000,None,TA,TA,TA,RFn,180000
10400,7,1970,1970,288.0,0,1304,1682,0,1682,2,7,1,1970.0,2,530,98,0,174000,BrkFace,TA,TA,TA,Unf,174000
10355,5,1967,1967,196.0,695,1214,1214,0,1214,2,5,1,1967.0,1,318,0,111,143000,BrkFace,TA,TA,TA,RFn,143000
11070,7,1988,1989,70.0,0,1907,1959,0,1959,3,9,0,1989.0,3,766,0,0,171000,BrkFace,TA,TA,TA,Unf,171000
9066,8,1999,2000,320.0,668,1004,1004,848,1852,2,7,2,1999.0,3,660,224,106,230000,BrkFace,Gd,Gd,Gd,Fin,230000
15426,6,1997,1997,0.0,821,928,928,836,1764,2,7,0,1997.0,2,470,276,99,231500,None,TA,Gd,Gd,RFn,231500
10500,4,1971,1971,0.0,432,864,864,0,864,1,5,1,,0,0,0,0,115000,None,TA,TA,TA,,115000
11645,7,2005,2005,0.0,1300,1734,1734,0,1734,2,7,0,2005.0,2,660,160,24,260000,None,Gd,Gd,Gd,Fin,260000
8520,5,1952,1952,0.0,507,910,910,475,1385,2,6,0,2000.0,2,720,0,0,166000,None,TA,TA,TA,Unf,166000
10335,7,1999,1999,183.0,679,1490,1501,0,1501,2,6,0,1999.0,2,577,144,29,204000,BrkFace,Gd,Gd,Gd,RFn,204000
9100,5,1963,1963,336.0,1332,1728,1728,0,1728,2,10,0,1963.0,2,504,0,0,125000,BrkFace,TA,TA,TA,Unf,125000
2522,6,2004,2006,50.0,0,970,970,739,1709,2,7,0,2004.0,2,380,0,40,130000,Stone,Gd,Gd,Gd,Unf,130000
6120,5,1931,1993,0.0,209,715,875,0,875,1,5,0,1931.0,1,180,48,0,105000,None,TA,TA,TA,Unf,105000
9505,7,2001,2001,180.0,0,884,884,1151,2035,2,8,1,2001.0,2,434,144,48,222500,BrkFace,Gd,Gd,Gd,Fin,222500
7500,7,2004,2005,120.0,680,1080,1080,0,1080,1,6,0,,0,0,0,0,141000,BrkFace,TA,Gd,Gd,,141000
6240,5,1936,1950,0.0,0,896,896,448,1344,1,7,0,1936.0,1,240,200,114,115000,None,TA,Gd,TA,Unf,115000
10356,5,1975,1975,0.0,716,969,969,0,969,1,5,0,1975.0,2,440,0,0,122000,None,TA,TA,TA,Unf,122000
13891,8,2007,2008,436.0,1400,1710,1710,0,1710,2,6,1,2007.0,3,866,0,102,372402,Stone,Gd,Ex,Gd,RFn,372402
14803,6,1971,1971,252.0,416,825,1097,896,1993,2,8,1,1971.0,2,495,0,66,190000,BrkFace,TA,TA,TA,RFn,190000
13500,6,1960,1975,0.0,429,1602,1252,0,1252,1,4,1,1960.0,2,564,409,0,235000,None,TA,Gd,TA,RFn,235000
11340,6,1923,1950,0.0,0,1200,1200,0,1200,1,7,0,1923.0,1,312,0,0,125000,None,TA,TA,TA,Unf,125000
9600,6,1924,1950,0.0,0,572,572,524,1096,1,5,0,,0,0,0,8,79000,None,TA,TA,TA,,79000
7200,5,1950,1950,0.0,0,0,1040,0,1040,1,5,0,1950.0,2,625,0,0,109500,None,TA,,TA,Unf,109500
12003,8,2009,2010,84.0,0,774,774,1194,1968,2,8,1,2009.0,3,680,0,75,269500,BrkFace,Gd,Ex,Ex,Fin,269500
12552,7,2004,2005,0.0,222,991,991,956,1947,2,8,1,2004.0,2,678,0,136,254900,None,Gd,Gd,Gd,RFn,254900
19378,7,2005,2006,456.0,57,1392,1392,1070,2462,2,9,1,2006.0,2,576,239,132,320000,BrkFace,Gd,Gd,Gd,RFn,320000
11120,6,1984,1984,0.0,660,1232,1232,0,1232,2,6,0,1984.0,2,516,0,0,162500,None,TA,Gd,TA,Unf,162500
13688,9,2003,2004,664.0,1016,1572,1572,1096,2668,2,10,2,2003.0,3,726,400,0,412500,BrkFace,Gd,Ex,Ex,Fin,412500
12182,7,2005,2005,226.0,1201,1541,1541,0,1541,2,7,1,2005.0,2,532,0,70,220000,BrkFace,Gd,Gd,Gd,RFn,220000
5500,4,1956,1956,0.0,0,882,882,0,882,1,4,0,,0,0,0,0,103200,None,TA,TA,TA,,103200
5400,6,1926,2004,0.0,370,1149,1149,467,1616,2,5,0,1926.0,1,216,0,0,152000,None,TA,TA,Gd,Unf,152000
10106,5,1940,1999,0.0,351,644,808,547,1355,2,6,0,,0,0,140,0,127500,None,TA,TA,TA,,127500
10708,5,1955,1993,0.0,379,1617,1867,0,1867,1,7,3,1955.0,1,303,476,0,190000,None,Gd,TA,TA,Fin,190000
10562,8,2007,2007,300.0,1288,1582,1610,551,2161,1,8,1,2007.0,3,789,178,120,325624,Stone,Gd,Ex,Ex,Fin,325624
8244,7,2004,2004,0.0,0,840,840,880,1720,2,7,1,2004.0,2,440,100,48,183500,None,Gd,Gd,Gd,Fin,183500
16669,8,1981,1981,653.0,0,1686,1707,0,1707,2,6,1,1981.0,2,511,574,64,228000,BrkFace,Gd,Gd,TA,RFn,228000
12358,5,1941,1950,0.0,360,720,854,0,1382,1,7,0,1991.0,2,660,237,0,128500,None,TA,TA,TA,Unf,128500
31770,6,1960,1960,112.0,639,1080,1656,0,1656,1,7,2,1960.0,2,528,210,62,215000,Stone,TA,TA,TA,Fin,215000
5306,7,1987,1987,0.0,495,1064,1064,703,1767,2,5,1,1987.0,2,504,441,35,239000,None,Gd,Gd,Gd,RFn,239000
10197,6,1961,1961,491.0,288,1362,1362,0,1362,1,6,1,1961.0,2,504,0,20,163000,BrkCmn,TA,TA,TA,Unf,163000
12416,6,1986,1986,132.0,1398,1606,1651,0,1651,2,7,1,1986.0,2,616,192,0,184000,Stone,TA,Gd,TA,Fin,184000
12615,6,1950,2001,0.0,477,1202,2158,0,2158,2,7,1,1950.0,2,576,0,29,243000,None,TA,TA,Gd,Unf,243000
10029,6,1988,1989,268.0,831,1151,1164,896,2060,2,8,1,1988.0,2,521,0,228,211000,BrkFace,Gd,Gd,TA,Unf,211000
13650,5,1958,1958,0.0,57,1052,1252,668,1920,2,8,1,1958.0,2,451,0,0,172500,None,Gd,TA,Gd,Unf,172500
17423,9,2008,2009,748.0,1904,2216,2234,0,2234,2,9,1,2009.0,3,1166,0,60,501837,Stone,Ex,Ex,Ex,Fin,501837
8520,5,1923,2006,0.0,0,968,968,0,968,1,5,0,1935.0,2,480,0,0,100000,None,Gd,TA,TA,Unf,100000
2117,6,2000,2000,456.0,436,756,769,756,1525,2,5,1,2000.0,2,440,0,0,177000,BrkFace,Gd,Gd,Gd,Unf,177000
7588,7,1920,1950,0.0,352,793,901,901,1802,1,9,1,1920.0,1,216,0,0,200100,None,TA,Fa,TA,Unf,200100
9060,5,1957,2006,98.0,0,0,1340,0,1340,1,7,1,1957.0,1,252,116,0,120000,BrkFace,TA,,TA,RFn,120000
11426,7,2003,2003,0.0,0,1362,1362,720,2082,2,6,0,2003.0,2,484,280,238,200000,None,TA,Gd,Gd,Unf,200000
7438,5,1908,1991,0.0,0,504,936,316,1252,1,5,0,1986.0,2,576,104,0,127000,None,TA,Fa,TA,Unf,127000
22950,10,1892,1993,0.0,0,1107,1518,1518,3608,2,12,2,1993.0,3,840,0,260,475000,None,Gd,TA,Ex,Unf,475000
9947,7,1990,1991,0.0,611,1188,1217,0,1217,2,6,0,1990.0,2,497,168,27,173000,None,TA,Gd,Gd,Unf,173000
10410,5,1916,1987,0.0,0,660,808,704,1656,2,8,0,1916.0,1,180,0,0,135000,None,TA,Fa,TA,Unf,135000
7018,5,1979,1979,275.0,1086,1086,1224,0,1224,0,6,2,1979.0,2,528,120,0,153337,Stone,TA,Gd,TA,Unf,153337
4923,8,2001,2002,0.0,1153,1593,1593,0,1593,1,5,1,2001.0,2,682,0,120,286000,None,Gd,Ex,Ex,Fin,286000
10570,8,1932,1994,0.0,297,853,1549,1178,2727,2,10,2,1932.0,2,440,0,74,315000,None,Gd,Gd,Gd,Unf,315000
7472,7,1972,2004,138.0,626,725,725,754,1479,1,7,0,1972.0,2,484,0,32,184000,BrkFace,TA,TA,Gd,Fin,184000
9017,7,1999,1999,0.0,560,1431,1431,0,1431,2,6,0,1999.0,2,666,0,35,192000,None,Gd,Gd,Gd,Fin,192000
2522,7,2004,2004,50.0,0,970,970,739,1709,2,7,0,2004.0,2,380,0,40,130000,Stone,Gd,Gd,Gd,Unf,130000
7180,5,1972,1972,0.0,390,864,864,0,864,1,5,0,1989.0,1,352,0,0,127000,None,TA,TA,TA,Unf,127000
2280,6,1976,1976,0.0,566,855,855,601,1456,2,7,1,1976.0,2,440,87,0,148500,None,TA,Gd,TA,Unf,148500
