LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,ScreenPorch,SalePrice
85.0,11049,Reg,Corner,CollgCr,1Story,8,2007,2007,VinylSd,VinylSd,None,0.0,Gd,Ex,Av,Unf,0,1234,1234,Ex,1234,0,1234,0,2,0,3,Gd,7,0,Attchd,2007.0,RFn,2,484,0,30,0,179900
70.0,10552,IR1,Inside,NAmes,1Story,5,1959,1959,BrkFace,BrkFace,None,0.0,TA,TA,No,Rec,1018,380,1398,Gd,1700,0,1700,0,1,1,4,Gd,6,1,Attchd,1959.0,RFn,2,447,0,38,0,165500
60.0,7313,Reg,Inside,NridgHt,1Story,9,2005,2005,MetalSd,MetalSd,BrkFace,246.0,Ex,Ex,No,GLQ,1153,408,1561,Ex,1561,0,1561,1,2,0,2,Ex,6,1,Attchd,2005.0,Fin,2,556,203,47,0,277500
108.0,13418,Reg,Inside,NridgHt,2Story,8,2004,2005,VinylSd,VinylSd,Stone,132.0,Gd,Ex,Av,Unf,0,1117,1117,Ex,1132,1320,2452,0,3,1,4,Gd,9,1,BuiltIn,2004.0,Fin,3,691,113,32,0,309000
112.0,10859,Reg,Corner,CollgCr,1Story,5,1994,1995,VinylSd,VinylSd,None,0.0,TA,Gd,No,Unf,0,1097,1097,Ex,1097,0,1097,0,1,1,3,TA,6,0,Attchd,1995.0,Unf,2,672,392,64,0,145000
74.0,8532,Reg,Inside,NAmes,1Story,5,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,No,Rec,1213,84,1297,Gd,1297,0,1297,0,1,0,3,TA,5,1,Attchd,1954.0,Fin,2,498,0,0,0,153000
68.0,7922,Reg,Inside,NAmes,1Story,5,1953,2007,VinylSd,VinylSd,None,0.0,TA,TA,No,GLQ,731,326,1057,TA,1057,0,1057,1,1,0,3,Gd,5,0,Detchd,1953.0,Unf,1,246,0,52,0,109000
65.0,6040,Reg,Inside,Edwards,1Story,4,1955,1955,AsbShng,Plywood,None,0.0,TA,,,,0,0,0,TA,1152,0,1152,0,2,0,2,Fa,6,0,,,,0,0,0,0,0,82000
84.0,8658,Reg,Inside,NAmes,1Story,6,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,No,Rec,643,445,1088,Ex,1324,0,1324,0,2,0,3,TA,6,1,Attchd,1965.0,RFn,2,440,0,138,0,160000
115.0,16905,Reg,Inside,Timber,1Story,5,1959,1959,VinylSd,VinylSd,None,0.0,TA,TA,Gd,BLQ,967,383,1350,Gd,1328,0,1328,0,1,1,2,TA,5,2,Attchd,1959.0,RFn,1,308,0,104,0,170000
,9180,IR1,CulDSac,SawyerW,SFoyer,5,1983,1983,HdBoard,HdBoard,None,0.0,TA,Gd,Av,ALQ,747,0,840,Gd,884,0,884,1,1,0,2,Gd,5,0,Attchd,1983.0,RFn,2,504,240,0,0,144000
,9200,IR1,CulDSac,CollgCr,1Story,5,1975,1980,VinylSd,VinylSd,None,0.0,TA,Gd,Av,LwQ,280,167,938,TA,938,0,938,1,1,0,3,TA,5,0,Detchd,1977.0,Unf,1,308,145,0,0,130250
70.0,7945,Reg,Inside,NAmes,1Story,5,1959,1959,BrkFace,Wd Sdng,None,0.0,TA,TA,No,ALQ,179,465,1150,Ex,1150,0,1150,1,1,0,3,TA,6,0,Attchd,1959.0,RFn,1,300,0,0,0,141000
61.0,7658,Reg,Inside,NridgHt,1Story,9,2005,2005,MetalSd,MetalSd,BrkFace,412.0,Ex,Ex,No,GLQ,456,1296,1752,Ex,1752,0,1752,1,2,0,2,Ex,6,1,Attchd,2005.0,RFn,2,576,196,82,0,319900
48.0,12822,IR1,CulDSac,Mitchel,1.5Fin,7,2003,2003,VinylSd,VinylSd,None,0.0,Gd,Ex,No,GLQ,1351,83,1434,Ex,1518,631,2149,1,1,1,1,Gd,6,1,Attchd,2003.0,RFn,2,670,168,43,198,239686
84.0,11096,Reg,Inside,Somerst,1Story,8,2006,2006,VinylSd,VinylSd,None,0.0,Gd,Gd,Av,GLQ,24,1632,1656,Ex,1656,0,1656,0,2,0,3,Gd,7,0,Attchd,2006.0,RFn,3,826,0,146,0,249700
33.0,4456,Reg,Inside,OldTown,2Story,4,1920,2008,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,736,736,Gd,736,716,1452,0,2,0,2,TA,8,0,,,,0,0,0,0,0,113000
66.0,7742,Reg,Inside,Sawyer,1Story,5,1966,1966,HdBoard,HdBoard,None,0.0,TA,TA,No,BLQ,763,192,955,Ex,955,0,955,1,1,0,3,TA,6,0,Attchd,1966.0,Unf,1,386,0,0,0,127000
,13869,IR2,Corner,Gilbert,2Story,6,1997,1997,VinylSd,VinylSd,None,0.0,TA,Gd,Av,GLQ,182,612,794,Gd,794,676,1470,0,2,0,3,TA,6,0,Attchd,1997.0,Fin,2,388,0,75,0,177000
52.0,6240,Reg,Inside,BrkSide,1.5Fin,6,1934,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,Unf,0,816,816,TA,816,0,1176,0,1,0,3,TA,6,1,Detchd,1985.0,Unf,2,528,112,0,0,114500
110.0,8472,IR2,Corner,IDOTRR,1Story,5,1963,1963,Wd Sdng,Wd Sdng,None,0.0,Fa,Gd,Gd,LwQ,104,0,816,TA,816,0,816,1,1,0,2,TA,5,0,CarPort,1963.0,Unf,2,516,106,0,0,110000
68.0,50271,IR1,Inside,Veenker,1Story,9,1981,1987,WdShing,Wd Shng,None,0.0,Gd,Ex,Gd,GLQ,1810,32,1842,Gd,1842,0,1842,2,0,1,0,Gd,5,1,Attchd,1981.0,Fin,3,894,857,72,0,385000
60.0,7134,Reg,Inside,NAmes,SLvl,5,1955,1955,MetalSd,MetalSd,None,0.0,TA,TA,No,ALQ,384,0,384,TA,1360,0,1360,0,1,0,3,TA,6,1,Detchd,1962.0,Unf,2,572,0,50,0,130000
100.0,10175,IR1,Inside,NAmes,1Story,6,1964,1964,HdBoard,Plywood,BrkFace,272.0,TA,TA,No,BLQ,490,935,1425,Gd,1425,0,1425,0,2,0,3,TA,7,1,Attchd,1964.0,RFn,2,576,0,0,0,180500
24.0,2645,Reg,Inside,Somerst,2Story,8,1999,2000,MetalSd,MetalSd,BrkFace,456.0,Gd,Gd,No,GLQ,649,321,970,Ex,983,756,1739,1,2,1,3,Gd,7,0,Attchd,1999.0,Fin,2,480,115,0,0,172500
89.0,11645,IR1,Corner,CollgCr,2Story,7,2004,2004,VinylSd,VinylSd,None,0.0,Gd,Gd,No,Unf,0,860,860,Ex,860,860,1720,0,2,1,3,Gd,7,0,Attchd,2004.0,RFn,2,565,0,70,0,196500
66.0,13682,IR2,CulDSac,StoneBr,2Story,10,2006,2006,VinylSd,VinylSd,BrkFace,1031.0,Ex,Ex,Gd,Unf,0,1410,1410,Ex,1426,1519,2945,0,3,1,3,Gd,10,1,BuiltIn,2006.0,Fin,3,641,192,0,0,438780
60.0,7200,Reg,Inside,CollgCr,1Story,5,1972,1972,HdBoard,HdBoard,None,0.0,TA,TA,Av,ALQ,632,148,780,Ex,780,0,780,0,1,0,2,TA,4,0,Detchd,1973.0,Unf,1,352,196,0,0,124900
63.0,13072,Reg,Inside,SawyerW,1Story,6,2004,2004,VinylSd,VinylSd,None,0.0,TA,Gd,No,ALQ,941,217,1158,Ex,1158,0,1158,1,1,1,3,Gd,5,0,Detchd,2006.0,Unf,2,576,0,50,0,158000
60.0,7200,Reg,Inside,IDOTRR,2.5Unf,5,1920,1996,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,530,530,TA,581,530,1111,0,1,0,3,Fa,6,0,Detchd,1935.0,Unf,1,288,0,0,0,101000
44.0,6442,IR1,Inside,NridgHt,1Story,8,2006,2006,VinylSd,VinylSd,Stone,178.0,Gd,Gd,Mn,GLQ,24,1346,1370,Ex,1370,0,1370,0,2,0,2,Gd,6,1,Attchd,2006.0,RFn,2,484,120,49,0,202500
50.0,10300,IR1,Inside,OldTown,2Story,7,1921,1950,Stucco,Stucco,None,0.0,TA,TA,No,Unf,0,576,576,Gd,902,808,1710,0,2,0,3,TA,9,0,Detchd,1990.0,Unf,2,480,12,11,0,140000
,9375,Reg,Inside,CollgCr,2Story,7,1997,1998,VinylSd,VinylSd,BrkFace,573.0,TA,Gd,No,GLQ,739,318,1057,Ex,1057,977,2034,1,2,1,3,Gd,8,0,Attchd,1998.0,RFn,2,645,576,36,0,219500
76.0,9591,Reg,Inside,NridgHt,2Story,8,2004,2005,VinylSd,VinylSd,BrkFace,344.0,Gd,Ex,Av,Unf,0,1143,1143,Ex,1143,1330,2473,0,2,1,4,Gd,9,1,BuiltIn,2004.0,RFn,3,852,192,151,0,317000
,19900,Reg,Inside,NAmes,1Story,7,1970,1989,Plywood,Plywood,BrkFace,287.0,TA,Gd,Gd,GLQ,912,1035,1947,TA,2207,0,2207,1,2,0,3,TA,7,1,Attchd,1970.0,RFn,2,576,301,0,0,180000
72.0,10665,IR1,Inside,CollgCr,1Story,7,2003,2003,VinylSd,VinylSd,BrkFace,167.0,Gd,Gd,Av,GLQ,1013,440,1453,Ex,1479,0,1479,1,2,0,3,Gd,7,0,Attchd,2003.0,RFn,2,558,144,29,0,226000
47.0,4608,Reg,Corner,OldTown,1Story,4,1945,1950,MetalSd,MetalSd,None,0.0,TA,TA,No,Unf,0,747,747,TA,747,0,747,0,1,0,2,TA,4,0,Attchd,1945.0,Unf,1,220,0,0,0,80000
81.0,15593,Reg,Corner,ClearCr,1.5Fin,7,1953,1953,BrkFace,AsbShng,None,0.0,Gd,TA,No,BLQ,603,701,1304,TA,1304,983,2287,0,2,0,3,TA,7,1,Attchd,1953.0,Fin,2,667,0,21,0,225000
95.0,13651,IR1,Inside,NAmes,1Story,7,1973,1973,Plywood,Plywood,BrkFace,1115.0,TA,Gd,Gd,ALQ,1880,343,2223,Ex,2223,0,2223,1,2,0,3,TA,8,2,Attchd,1973.0,Fin,2,516,300,0,0,244000
69.0,7599,Reg,Corner,Mitchel,1Story,4,1982,2006,HdBoard,Plywood,None,0.0,TA,TA,No,ALQ,565,280,845,TA,845,0,845,1,1,0,2,TA,4,0,Detchd,1987.0,Unf,2,360,0,0,0,129500
74.0,10141,IR1,Corner,Gilbert,2Story,7,1998,1998,VinylSd,VinylSd,BrkFace,40.0,TA,Gd,No,Unf,0,832,832,Gd,885,833,1718,0,2,1,3,TA,7,1,Attchd,1998.0,Fin,2,427,0,94,291,185000
85.0,10200,Reg,Inside,NAmes,1Story,5,1954,2003,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,TA,No,ALQ,320,404,1086,Gd,1086,0,1086,1,1,0,3,TA,6,0,Attchd,1989.0,Unf,2,490,0,0,0,144900
60.0,5790,Reg,Corner,OldTown,2Story,3,1915,1950,VinylSd,VinylSd,None,0.0,Gd,Fa,No,Unf,0,840,840,Gd,840,765,1605,0,2,0,3,TA,8,0,Detchd,1915.0,Unf,1,379,0,0,0,107400
21.0,1596,Reg,Inside,MeadowV,SLvl,4,1973,1973,CemntBd,CmentBd,None,0.0,TA,Gd,Gd,GLQ,462,0,462,TA,526,462,988,1,1,0,2,TA,5,0,BuiltIn,1973.0,Unf,1,297,120,101,0,91000
,8475,IR1,Inside,NAmes,1Story,4,1956,1956,VinylSd,VinylSd,None,0.0,TA,TA,No,ALQ,228,724,952,Ex,952,0,952,0,1,0,2,TA,4,0,Detchd,1956.0,Unf,1,283,0,0,0,135750
50.0,8635,Reg,Inside,BrkSide,1.5Fin,5,1948,2001,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,BLQ,336,295,672,TA,1072,213,1285,1,1,0,2,TA,6,0,Detchd,1948.0,Unf,1,240,0,0,0,127000
72.0,10778,Reg,Inside,Sawyer,1Story,4,1968,1968,HdBoard,HdBoard,None,0.0,TA,TA,No,Unf,0,1768,1768,TA,1768,0,1768,0,2,0,4,TA,8,0,,,,0,0,0,0,0,136500
60.0,10440,Reg,Corner,OldTown,2Story,5,1910,1981,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,Unf,0,440,440,Gd,682,548,1230,0,1,1,2,TA,5,0,Detchd,1966.0,Unf,2,440,74,0,0,110000
100.0,13000,Reg,Corner,NAmes,2Story,6,1968,1968,VinylSd,VinylSd,BrkFace,576.0,TA,Gd,No,Rec,448,448,896,TA,1182,960,2142,0,2,1,4,Gd,8,1,Attchd,1968.0,Fin,1,509,0,72,252,193500
32.0,4500,Reg,FR2,Mitchel,1Story,6,1998,1998,VinylSd,VinylSd,BrkFace,443.0,TA,Ex,No,GLQ,1201,36,1237,Ex,1337,0,1337,1,2,0,2,TA,5,0,Attchd,1998.0,Fin,2,405,0,199,0,153500
78.0,10206,Reg,Inside,Somerst,1Story,8,2007,2007,VinylSd,VinylSd,Stone,468.0,TA,Gd,No,GLQ,33,1530,1563,Ex,1563,0,1563,0,2,0,3,Gd,6,1,Attchd,2007.0,RFn,3,758,144,99,0,245000
80.0,8892,IR1,Inside,NAmes,1Story,5,1960,1960,MetalSd,MetalSd,BrkCmn,66.0,TA,TA,No,Unf,0,1065,1065,Gd,1065,0,1065,0,1,1,3,TA,6,0,Detchd,1974.0,Unf,2,461,74,0,0,126500
,8530,IR1,Inside,Gilbert,SLvl,7,1995,1996,HdBoard,HdBoard,BrkFace,22.0,TA,Gd,No,Unf,0,384,384,Gd,804,670,1474,0,2,1,3,TA,7,1,BuiltIn,1995.0,Fin,2,400,120,72,0,168500
121.0,16059,Reg,Corner,NoRidge,2Story,8,1991,1992,HdBoard,HdBoard,BrkFace,284.0,Gd,Gd,No,Unf,0,1288,1288,Ex,1301,1116,2417,0,2,1,4,Gd,9,1,Attchd,1991.0,Unf,2,462,127,82,0,260000
122.0,11911,IR2,Inside,Gilbert,2Story,6,2005,2005,VinylSd,VinylSd,None,0.0,Gd,Gd,Av,Unf,0,684,684,Ex,684,876,1560,0,2,1,3,Gd,6,1,BuiltIn,2005.0,Fin,2,400,100,38,0,174000
40.0,3951,Reg,Corner,Somerst,2Story,6,2009,2009,VinylSd,VinylSd,Stone,76.0,Gd,Gd,Av,Unf,0,612,612,Ex,612,612,1224,0,2,1,2,Gd,4,0,Detchd,2009.0,RFn,2,528,0,234,0,164500
105.0,8470,IR1,Corner,IDOTRR,1.5Fin,3,1915,1982,Plywood,Plywood,None,0.0,Fa,TA,No,Unf,0,1013,1013,TA,1013,0,1526,0,1,0,2,Fa,6,0,,,,0,0,0,0,0,85000
60.0,8070,Reg,Inside,CollgCr,1Story,4,1994,1995,VinylSd,VinylSd,None,0.0,TA,Gd,No,GLQ,588,402,990,Ex,990,0,990,1,1,0,3,TA,5,0,,,,0,0,0,0,0,123600
60.0,7200,Reg,Inside,NAmes,1Story,4,1950,1950,BrkFace,Wd Sdng,None,0.0,TA,,,,0,0,0,TA,1040,0,1040,0,1,0,2,TA,4,0,Detchd,1950.0,Unf,2,420,0,29,0,109900
85.0,8500,Reg,Inside,NAmes,1Story,5,1961,1961,HdBoard,HdBoard,BrkCmn,203.0,TA,TA,No,Rec,600,635,1235,TA,1235,0,1235,0,1,0,2,TA,6,0,Attchd,1961.0,Unf,2,480,0,0,0,98600
80.0,13360,IR1,Inside,Crawfor,1Story,5,1921,2006,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,No,ALQ,713,163,876,Ex,964,0,964,1,1,0,2,TA,5,0,Detchd,1921.0,Unf,2,432,0,0,0,163500
60.0,7200,Reg,Corner,OldTown,2.5Unf,6,1910,1998,MetalSd,MetalSd,None,0.0,TA,TA,Mn,Rec,1046,168,1214,Ex,1260,1031,2291,0,2,0,4,TA,9,1,Detchd,1900.0,Unf,2,506,0,0,99,133900
69.0,9337,IR1,Inside,CollgCr,2Story,6,1997,1997,VinylSd,VinylSd,None,0.0,TA,Gd,No,GLQ,648,176,824,Ex,905,881,1786,1,2,1,3,Gd,7,0,Attchd,1997.0,RFn,2,684,0,162,0,204750
,9765,IR2,Corner,Gilbert,2Story,6,1993,1993,VinylSd,VinylSd,BrkFace,68.0,Ex,Gd,No,ALQ,310,370,680,Gd,680,790,1470,0,2,1,3,TA,6,1,BuiltIn,1993.0,Fin,2,420,232,63,0,185000
78.0,10264,IR1,Inside,CollgCr,1Story,7,1999,1999,VinylSd,VinylSd,BrkFace,183.0,Gd,Gd,Av,ALQ,1162,426,1588,Ex,1588,0,1588,0,2,0,3,Gd,6,0,Attchd,1999.0,RFn,2,472,158,29,0,214000
73.0,10921,Reg,Inside,Edwards,1Story,4,1965,1965,HdBoard,HdBoard,BrkFace,48.0,TA,TA,No,Rec,520,440,960,TA,960,0,960,1,1,0,3,TA,6,0,Attchd,1965.0,Fin,1,432,120,0,0,94750
85.0,10625,Reg,Corner,Edwards,1Story,5,1920,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,No,ALQ,108,350,458,Fa,835,0,835,0,1,0,2,TA,5,0,Basment,1920.0,Unf,1,366,0,0,0,83000
77.0,9320,IR1,Inside,NAmes,1Story,4,1959,1959,Plywood,Plywood,None,0.0,TA,TA,No,ALQ,569,381,950,Fa,1225,0,1225,1,1,1,3,TA,6,0,,,,0,0,352,0,0,128950
,10603,IR1,Inside,NWAmes,1Story,6,1977,2001,Plywood,Plywood,BrkFace,28.0,TA,TA,Mn,ALQ,1200,410,1610,Gd,1610,0,1610,1,2,0,3,Gd,6,2,Attchd,1977.0,RFn,2,480,168,68,0,205000
77.0,9206,Reg,Inside,SawyerW,2Story,6,1985,1985,HdBoard,HdBoard,BrkFace,336.0,Gd,Gd,No,Unf,0,741,741,TA,977,755,1732,0,2,1,3,Gd,7,1,Attchd,1985.0,Fin,2,476,192,46,0,178000
64.0,7018,Reg,Inside,SawyerW,1Story,5,1979,1979,HdBoard,HdBoard,None,0.0,TA,,,,0,0,0,TA,1535,0,1535,0,2,0,4,TA,8,0,Attchd,1979.0,Unf,2,410,0,0,0,118964
94.0,10402,IR1,Corner,CollgCr,1Story,7,2009,2009,VinylSd,VinylSd,None,0.0,TA,Gd,No,Unf,0,1226,1226,Ex,1226,0,1226,0,2,0,3,Gd,6,0,Attchd,2009.0,RFn,3,740,0,36,0,198900
,7758,Reg,Corner,IDOTRR,1.5Fin,7,1931,1950,Stucco,Stucco,BrkFace,600.0,TA,TA,No,LwQ,224,816,1040,Ex,1226,592,1818,0,1,1,4,TA,7,2,Detchd,1951.0,Unf,1,240,0,0,184,169500
